1790105549.5046177 key event at 1790105549.504466, 320 (('BTN_DIGI', 'BTN_TOOL_PEN')), down
1790105551.642687 key event at 1790105551.642535, 332 (BTN_STYLUS2), down
1790105552.670617 key event at 1790105552.670569, 332 (BTN_STYLUS2), up
1790105553.1967447 key event at 1790105553.196583, 332 (BTN_STYLUS2), down
1790105553.384722 key event at 1790105553.384598, 330 (BTN_TOUCH), down
1790105553.9326859 key event at 1790105553.932623, 332 (BTN_STYLUS2), up
1790105553.9406602 key event at 1790105553.940615, 330 (BTN_TOUCH), up
1790105554.172771 key event at 1790105554.172640, 332 (BTN_STYLUS2), down
1790105554.2188106 key event at 1790105554.218688, 330 (BTN_TOUCH), down
1790105555.0127466 key event at 1790105555.012651, 332 (BTN_STYLUS2), up
1790105555.0367718 key event at 1790105555.036654, 330 (BTN_TOUCH), up
1790105555.2467434 key event at 1790105555.246660, 332 (BTN_STYLUS2), down
1790105555.3367481 key event at 1790105555.336674, 330 (BTN_TOUCH), down
1790105555.7728665 key event at 1790105555.772685, 330 (BTN_TOUCH), up
1790105555.7867832 key event at 1790105555.786679, 332 (BTN_STYLUS2), up
1790105555.996726 key event at 1790105555.996699, 332 (BTN_STYLUS2), down
1790105556.0728042 key event at 1790105556.072684, 330 (BTN_TOUCH), down
1790105556.4707742 key event at 1790105556.470704, 332 (BTN_STYLUS2), up
1790105556.4927683 key event at 1790105556.492701, 330 (BTN_TOUCH), up
1790105558.6629152 key event at 1790105558.662784, 332 (BTN_STYLUS2), down
1790105558.7528822 key event at 1790105558.752788, 330 (BTN_TOUCH), down
1790105559.3528917 key event at 1790105559.352810, 330 (BTN_TOUCH), up
1790105559.3608625 key event at 1790105559.360826, 332 (BTN_STYLUS2), up
1790105565.8551245 key event at 1790105565.855049, 332 (BTN_STYLUS2), down
1790105566.0431116 key event at 1790105566.043044, 330 (BTN_TOUCH), down
1790105566.2911367 key event at 1790105566.291058, 330 (BTN_TOUCH), up
1790105566.3050873 key event at 1790105566.305059, 332 (BTN_STYLUS2), up
1790105566.7401438 key event at 1790105566.740078, 320 (('BTN_DIGI', 'BTN_TOOL_PEN')), up
1790105568.5541568 key event at 1790105568.554124, 320 (('BTN_DIGI', 'BTN_TOOL_PEN')), down
1790105569.220202 key event at 1790105569.220158, 332 (BTN_STYLUS2), down
1790105569.4082174 key event at 1790105569.408161, 330 (BTN_TOUCH), down
1790105570.398261 key event at 1790105570.398197, 330 (BTN_TOUCH), up
1790105570.3993194 key event at 1790105570.399228, 332 (BTN_STYLUS2), up
1790105570.7062657 key event at 1790105570.706243, 332 (BTN_STYLUS2), down
1790105570.8042204 key event at 1790105570.804205, 330 (BTN_TOUCH), down
1790105571.7202885 key event at 1790105571.720251, 332 (BTN_STYLUS2), up
1790105571.7422674 key event at 1790105571.742240, 330 (BTN_TOUCH), up
1790105572.2244763 key event at 1790105572.224276, 332 (BTN_STYLUS2), down
1790105572.3283467 key event at 1790105572.328273, 330 (BTN_TOUCH), down
1790105572.9283295 key event at 1790105572.928279, 332 (BTN_STYLUS2), up
1790105572.9443548 key event at 1790105572.944285, 330 (BTN_TOUCH), up
1790105573.14043 key event at 1790105573.140342, 332 (BTN_STYLUS2), down
1790105573.2303464 key event at 1790105573.230304, 330 (BTN_TOUCH), down
1790105573.9343998 key event at 1790105573.934335, 330 (BTN_TOUCH), up
